Student_ID,10th_Score,12th_Score,UG_Score,Skills,Interests,Recommended_Career
S0034,87.15,83.97,84.86,"Python,SQL,Statistics,ML,Deep Learning","Problem Solving,Research,Analysis,Technology",Data Scientist
S0035,76.22,79.54,75.54,"Python,SQL,Statistics,ML,Deep Learning","Analysis,Mathematics,Research,Development",Data Scientist
S0036,90.7,79.75,76.53,"R,Python,Statistics,ML,Data Visualization","Analysis,Research,ML,Mathematics",Data Scientist
S0037,86.25,85.97,82.57,"Python,SQL,Statistics,ML,Deep Learning","Research,Statistics,Data,Innovation",Data Scientist
S0038,77.73,76.25,82.41,"Python,SQL,ML,AWS,Docker","Analysis,Research,ML,Mathematics",Data Scientist
S0039,95.0,88.27,88.96,"Python,R,Statistics,ML,Tableau","Problem Solving,Research,Analysis,Technology",Data Scientist
S0040,84.68,83.2,75.92,"Python,Spark,SQL,ML,Big Data","Research,ML,Data Analysis,Innovation",Data Scientist
S0041,95.97,81.7,84.04,"R,Python,Statistics,ML,Data Visualization","Research,Statistics,Data,Innovation",Data Scientist
S0042,87.07,90.14,89.09,"R,Python,Statistics,ML,Data Visualization","Research,Analysis,Statistics,Problem Solving",Data Scientist
S0043,86.48,73.43,78.82,"R,Python,Statistics,ML,Data Visualization","Research,Analysis,Statistics,Problem Solving",Data Scientist
S0044,82.25,86.35,83.7,"Python,Pandas,NumPy,Scikit-learn,ML","Analysis,Research,ML,Mathematics",Data Scientist
S0045,87.25,89.05,76.73,"R,Python,Statistics,ML,Data Visualization","Analysis,Research,ML,Mathematics",Data Scientist
S0046,91.99,88.65,79.85,"Python,Pandas,NumPy,Scikit-learn,ML","Analysis,Research,ML,Mathematics",Data Scientist
S0047,96.73,87.77,84.69,"Python,Spark,SQL,ML,Big Data","Research,Analysis,Statistics,Problem Solving",Data Scientist
S0048,84.92,90.13,81.34,"Python,TensorFlow,Keras,ML,Statistics","Research,Analysis,Statistics,Problem Solving",Data Scientist
S0049,90.44,84.38,86.24,"Python,R,Statistics,ML,Tableau","Research,ML,Data Analysis,Innovation",Data Scientist
S0050,84.82,84.57,77.52,"Python,SQL,Statistics,ML,Deep Learning","Research,Statistics,Data,Innovation",Data Scientist
S0051,99.5,91.5,82.26,"Python,TensorFlow,Keras,ML,Deep Learning","Research,Development,Innovation,Technology",Machine Learning Engineer
S0052,88.77,90.97,93.05,"Python,ML,Deep Learning,Edge Computing,IoT","Development,AI,Research,Optimization",Machine Learning Engineer
S0053,84.26,80.98,81.43,"C++,Python,ML,Deep Learning,Optimization","Development,AI,Research,Optimization",Machine Learning Engineer
S0054,83.75,77.88,77.66,"Python,ML,Deep Learning,NLP,Computer Vision","Development,AI,Research,Optimization",Machine Learning Engineer
S0055,75.51,78.15,74.18,"Python,TensorFlow,ML,Cloud,AWS","Development,AI,Research,Optimization",Machine Learning Engineer
S0056,92.64,92.92,94.43,"Python,PyTorch,ML,Deep Learning,Docker","AI,Research,Development,Problem Solving",Machine Learning Engineer
S0057,80.86,75.22,70.26,"Python,ML,Deep Learning,Kubernetes,MLOps","Development,Research,ML,AI,Innovation",Machine Learning Engineer
S0058,87.13,85.15,88.2,"Python,TensorFlow,Keras,ML,Deep Learning","Research,ML,Development,Innovation",Machine Learning Engineer
S0059,79.92,80.36,78.25,"Python,ML,Deep Learning,Kubernetes,MLOps","Research,ML,Development,Innovation",Machine Learning Engineer
S0060,79.66,77.81,77.55,"Python,PyTorch,ML,Deep Learning,Docker","AI,Research,Development,Problem Solving",Machine Learning Engineer
S0061,97.99,91.83,89.15,"Python,PyTorch,ML,Deep Learning,Docker","Research,ML,Development,Innovation",Machine Learning Engineer
S0062,90.08,95.02,93.23,"Python,ML,Deep Learning,Kubernetes,MLOps","AI,Research,Development,Problem Solving",Machine Learning Engineer
S0063,78.68,77.88,78.96,"Python,TensorFlow,ML,Cloud,AWS","ML,AI,Development,Research,Mathematics",Machine Learning Engineer
S0064,94.64,96.36,83.76,"Python,ML,Deep Learning,Edge Computing,IoT","Development,Research,ML,AI,Innovation",Machine Learning Engineer
S0065,82.54,77.78,80.97,"C++,Python,ML,Deep Learning,Optimization","Research,Development,Innovation,Technology",Machine Learning Engineer
S0066,98.82,82.48,82.76,"Python,ML,Deep Learning,Kubernetes,MLOps","Development,Research,ML,AI,Innovation",Machine Learning Engineer
S0067,96.58,86.03,87.23,"Python,Spark,ML,Scala,Big Data","Research,Development,Innovation,Technology",Machine Learning Engineer
S0068,98.89,89.09,95.91,"Python,Spark,ML,Scala,Big Data","Research,Development,Innovation,Technology",Machine Learning Engineer
S0069,86.99,97.38,85.22,"C++,Python,ML,Deep Learning,Optimization","Research,Development,Innovation,Technology",Machine Learning Engineer
S0070,86.65,87.08,89.6,"Python,TensorFlow,Keras,ML,Deep Learning","Research,Development,Innovation,Technology",Machine Learning Engineer
S0071,90.18,87.0,86.39,"Python,Spark,ML,Scala,Big Data","AI,Research,Development,Problem Solving",Machine Learning Engineer
S0072,93.54,94.29,84.48,"Python,TensorFlow,Keras,ML,Deep Learning","Research,ML,Development,Innovation",Machine Learning Engineer
S0073,92.42,88.79,85.98,"Python,TensorFlow,Keras,ML,Deep Learning","Research,Development,Innovation,Technology",Machine Learning Engineer
S0074,94.64,95.35,90.68,"Python,TensorFlow,Keras,ML,Deep Learning","Development,Research,ML,AI,Innovation",Machine Learning Engineer
S0075,97.0,96.69,91.93,"Python,ML,Deep Learning,NLP,Computer Vision","Development,Research,ML,AI,Innovation",Machine Learning Engineer
S0076,90.57,88.02,82.52,"Python,ML,Deep Learning,Kubernetes,MLOps","Research,Development,Innovation,Technology",Machine Learning Engineer
S0077,81.19,77.7,82.51,"Python,PyTorch,ML,Deep Learning,Docker","AI,Research,Development,Problem Solving",Machine Learning Engineer
S0078,91.67,85.25,89.61,"Python,PyTorch,ML,Deep Learning,Docker","Development,Research,ML,AI,Innovation",Machine Learning Engineer
S0079,96.16,84.68,83.69,"Python,PyTorch,ML,Deep Learning,Docker","ML,AI,Development,Research,Mathematics",Machine Learning Engineer
S0080,91.31,92.87,86.24,"Python,ML,Deep Learning,Kubernetes,MLOps","Development,Research,ML,AI,Innovation",Machine Learning Engineer
S0081,83.88,79.13,73.66,"Python,ML,Deep Learning,NLP,Computer Vision","Development,AI,Research,Optimization",Machine Learning Engineer
S0082,80.85,85.45,78.39,"Python,ML,Deep Learning,Kubernetes,MLOps","ML,AI,Development,Research,Mathematics",Machine Learning Engineer
S0083,99.49,84.35,77.55,"Python,Spark,ML,Scala,Big Data","AI,Research,Development,Problem Solving",Machine Learning Engineer
S0084,86.82,75.29,72.46,"Python,TensorFlow,ML,Cloud,AWS","Research,ML,Development,Innovation",Machine Learning Engineer
S0085,84.58,72.15,73.95,"Python,ML,Deep Learning,Kubernetes,MLOps","Development,AI,Research,Optimization",Machine Learning Engineer
S0086,90.52,89.9,86.91,"Python,TensorFlow,Keras,ML,Deep Learning","Research,ML,Development,Innovation",Machine Learning Engineer
S0087,80.39,72.13,64.64,"C++,Python,ML,Deep Learning,Optimization","Research,Development,Innovation,Technology",Machine Learning Engineer
S0088,92.99,88.6,85.64,"Python,ML,Deep Learning,NLP,Computer Vision","Development,AI,Research,Optimization",Machine Learning Engineer
S0089,92.98,90.42,84.35,"Python,ML,Deep Learning,NLP,Computer Vision","Development,AI,Research,Optimization",Machine Learning Engineer
S0090,81.93,76.25,78.94,"C++,Python,ML,Deep Learning,Optimization","Research,ML,Development,Innovation",Machine Learning Engineer
S0091,93.35,93.0,83.9,"Python,ML,Deep Learning,Kubernetes,MLOps","AI,Research,Development,Problem Solving",Machine Learning Engineer
S0092,79.11,79.53,72.2,"Python,Spark,ML,Scala,Big Data","Research,Development,Innovation,Technology",Machine Learning Engineer
S0093,94.47,96.61,85.65,"Python,TensorFlow,Keras,ML,Deep Learning","Research,ML,Development,Innovation",Machine Learning Engineer
S0094,88.02,85.56,81.84,"Python,TensorFlow,ML,Cloud,AWS","Development,AI,Research,Optimization",Machine Learning Engineer
S0095,85.98,74.16,76.59,"Python,TensorFlow,ML,Cloud,AWS","Development,AI,Research,Optimization",Machine Learning Engineer
S0096,90.07,82.83,93.06,"Python,ML,Deep Learning,NLP,Computer Vision","Research,Development,Innovation,Technology",Machine Learning Engineer
S0097,87.7,82.22,80.24,"Python,ML,Deep Learning,Edge Computing,IoT","Research,ML,Development,Innovation",Machine Learning Engineer
S0098,95.51,93.36,88.0,"Python,Spark,ML,Scala,Big Data","ML,AI,Development,Research,Mathematics",Machine Learning Engineer
S0099,98.0,90.58,86.05,"Python,TensorFlow,ML,Cloud,AWS","Development,AI,Research,Optimization",Machine Learning Engineer
S0100,96.8,82.78,87.86,"Python,TensorFlow,ML,Cloud,AWS","Research,ML,Development,Innovation",Machine Learning Engineer
S0101,82.85,80.38,80.74,"JavaScript,Node.js,MongoDB,React","Development,Programming,Problem Solving,Technology",Software Developer
S0102,73.72,74.92,75.51,"JavaScript,Node.js,MongoDB,React","Development,Technology,Innovation,Architecture",Software Developer
S0103,92.78,89.05,76.29,"Ruby,Rails,PostgreSQL,Redis","Coding,Development,Problem Solving,Design",Software Developer
S0104,74.26,72.36,73.86,"Ruby,Rails,PostgreSQL,Redis","Development,Coding,Innovation,Design",Software Developer
S0105,87.58,76.28,84.89,"JavaScript,Node.js,MongoDB,React","Coding,Development,Problem Solving,Design",Software Developer
S0106,82.08,90.95,78.13,"Java,Spring Boot,MySQL,REST API","Development,Programming,Debugging,Innovation",Software Developer
S0107,89.15,86.48,76.63,"Ruby,Rails,PostgreSQL,Redis","Coding,Development,Problem Solving,Design",Software Developer
S0108,88.17,78.46,67.8,"JavaScript,Node.js,MongoDB,React","Coding,Development,Problem Solving,Design",Software Developer
S0109,79.48,87.18,81.51,"Python,Django,PostgreSQL,REST API","Development,Programming,Debugging,Innovation",Software Developer
S0110,72.69,76.46,72.69,"Go,PostgreSQL,Docker,Microservices","Development,Coding,Innovation,Design",Software Developer
S0111,75.34,74.37,69.18,"Python,Django,PostgreSQL,REST API","Coding,Development,Problem Solving,Design",Software Developer
S0112,83.91,78.86,65.96,"C#,.NET,SQL Server,Azure","Development,Programming,Debugging,Innovation",Software Developer
S0113,85.62,88.27,72.98,"Java,Spring Boot,MySQL,REST API","Programming,Development,Logic,Problem Solving",Software Developer
S0114,92.37,78.16,77.79,"Python,Flask,SQLAlchemy,Redis","Programming,Development,Logic,Problem Solving",Software Developer
S0115,78.87,79.98,79.08,"Go,PostgreSQL,Docker,Microservices","Coding,Development,Problem Solving,Design",Software Developer
S0116,91.35,89.74,77.03,"JavaScript,Node.js,MongoDB,React","Programming,Development,Logic,Problem Solving",Software Developer
S0117,85.55,81.48,72.7,"Go,PostgreSQL,Docker,Microservices","Programming,Development,Logic,Problem Solving",Software Developer
S0118,85.61,80.03,79.79,"Go,PostgreSQL,Docker,Microservices","Development,Technology,Innovation,Architecture",Software Developer
S0119,89.66,81.86,79.79,"Python,Django,PostgreSQL,REST API","Development,Programming,Debugging,Innovation",Software Developer
S0120,82.63,75.76,70.68,"Java,Microservices,Docker,Kubernetes","Development,Coding,Innovation,Design",Software Developer
S0121,90.73,87.28,75.43,"Python,Django,PostgreSQL,REST API","Development,Technology,Innovation,Architecture",Software Developer
S0122,78.89,77.82,74.69,"Go,PostgreSQL,Docker,Microservices","Programming,Development,Logic,Problem Solving",Software Developer
S0123,80.1,73.97,70.92,"Python,Flask,SQLAlchemy,Redis","Coding,Development,Problem Solving,Design",Software Developer
S0124,79.37,83.05,76.08,"Python,Flask,SQLAlchemy,Redis","Development,Technology,Innovation,Architecture",Software Developer
S0125,81.28,78.04,83.95,"Python,Django,PostgreSQL,REST API","Development,Programming,Debugging,Innovation",Software Developer
S0126,80.07,71.07,76.01,"Python,Django,PostgreSQL,REST API","Development,Programming,Problem Solving,Technology",Software Developer
S0127,88.03,83.96,81.66,"Python,Flask,SQLAlchemy,Redis","Coding,Development,Problem Solving,Design",Software Developer
S0128,89.12,85.33,84.93,"Java,Spring Boot,MySQL,REST API","Coding,Development,Problem Solving,Design",Software Developer
S0129,80.04,77.88,74.12,"C#,.NET,SQL Server,Azure","Development,Coding,Innovation,Design",Software Developer
S0130,82.98,81.69,79.31,"JavaScript,Node.js,MongoDB,React","Coding,Development,Problem Solving,Design",Software Developer
S0131,81.67,79.32,70.63,"JavaScript,Node.js,MongoDB,React","Development,Coding,Innovation,Design",Software Developer
S0132,77.64,75.67,76.86,"Java,Spring Boot,MySQL,REST API","Programming,Development,Logic,Problem Solving",Software Developer
S0133,79.0,89.02,84.64,"Ruby,Rails,PostgreSQL,Redis","Development,Coding,Innovation,Design",Software Developer
S0134,84.84,77.04,82.07,"JavaScript,Node.js,MongoDB,React","Development,Technology,Innovation,Architecture",Software Developer
S0135,84.06,78.74,77.45,"C#,.NET,SQL Server,Azure","Programming,Development,Logic,Problem Solving",Software Developer
S0136,84.07,86.8,74.18,"C#,.NET,SQL Server,Azure","Development,Technology,Innovation,Architecture",Software Developer
S0137,70.6,75.75,73.76,"Python,Django,PostgreSQL,REST API","Development,Programming,Debugging,Innovation",Software Developer
S0138,81.11,88.03,72.17,"Ruby,Rails,PostgreSQL,Redis","Development,Technology,Innovation,Architecture",Software Developer
S0139,77.45,75.65,73.41,"Python,Flask,SQLAlchemy,Redis","Programming,Development,Logic,Problem Solving",Software Developer
S0140,83.83,82.01,71.58,"Python,Flask,SQLAlchemy,Redis","Development,Technology,Innovation,Architecture",Software Developer
S0141,90.3,79.47,71.75,"Ruby,Rails,PostgreSQL,Redis","Programming,Development,Logic,Problem Solving",Software Developer
S0142,87.33,74.0,72.32,"Go,PostgreSQL,Docker,Microservices","Programming,Development,Logic,Problem Solving",Software Developer
S0143,77.42,72.79,71.81,"Java,Spring Boot,MySQL,REST API","Development,Technology,Innovation,Architecture",Software Developer
S0144,82.93,88.65,73.5,"Go,PostgreSQL,Docker,Microservices","Coding,Development,Problem Solving,Design",Software Developer
S0145,84.98,94.58,73.4,"Python,Django,PostgreSQL,REST API","Development,Programming,Debugging,Innovation",Software Developer
S0146,77.22,78.25,73.53,"Python,Django,PostgreSQL,REST API","Coding,Development,Problem Solving,Design",Software Developer
S0147,90.31,79.36,76.1,"Go,PostgreSQL,Docker,Microservices","Development,Programming,Problem Solving,Technology",Software Developer
S0148,78.61,85.97,75.49,"Python,Flask,SQLAlchemy,Redis","Development,Programming,Problem Solving,Technology",Software Developer
S0149,88.74,80.38,79.3,"Ruby,Rails,PostgreSQL,Redis","Development,Programming,Problem Solving,Technology",Software Developer
S0150,82.98,84.74,81.56,"Java,Microservices,Docker,Kubernetes","Programming,Development,Logic,Problem Solving",Software Developer
S0151,92.83,81.06,77.17,"R,SQL,Statistics,Tableau,Excel","Analysis,Statistics,Business,Visualization",Data Analyst
S0152,89.14,79.17,80.22,"Python,SQL,Excel,Tableau,Power BI","Data Analysis,Business Intelligence,Reporting",Data Analyst
S0153,91.87,86.02,83.38,"Python,SQL,Excel,Tableau,Power BI","Statistics,Analysis,Business,Problem Solving",Data Analyst
S0154,79.75,83.09,79.98,"Python,SQL,Looker,Statistics","Analysis,Statistics,Business,Visualization",Data Analyst
S0155,84.92,83.96,82.68,"Python,SQL,Excel,Tableau,Power BI","Analysis,Statistics,Business,Visualization",Data Analyst
S0156,87.84,83.67,77.33,"Python,SQL,Looker,Statistics","Statistics,Analysis,Business,Problem Solving",Data Analyst
S0157,92.27,87.15,77.15,"R,SQL,ggplot2,Statistics,Excel","Analysis,Business,Statistics,Reporting",Data Analyst
S0158,86.38,84.17,84.71,"SQL,Excel,Tableau,Statistics,Business Intelligence","Analysis,Business,Data,Decision Making",Data Analyst
S0159,89.02,86.34,77.61,"SQL,Excel,Power BI,Data Visualization","Analysis,Business,Data,Decision Making",Data Analyst
S0160,90.58,82.13,80.64,"Python,SQL,Excel,Tableau,Power BI","Data Analysis,Business Intelligence,Reporting",Data Analyst
S0161,82.34,84.17,83.88,"Python,Pandas,SQL,Tableau,Statistics","Business Analysis,Data,Reporting,Insights",Data Analyst
S0162,80.52,84.86,79.25,"R,SQL,Statistics,Tableau,Excel","Analysis,Statistics,Business,Visualization",Data Analyst
S0163,89.88,91.79,89.82,"R,SQL,ggplot2,Statistics,Excel","Analysis,Statistics,Business,Visualization",Data Analyst
S0164,90.38,85.05,86.59,"R,SQL,Statistics,Tableau,Excel","Analysis,Business,Data,Decision Making",Data Analyst
S0165,96.33,85.7,82.17,"SQL,Excel,Tableau,Statistics,Business Intelligence","Analysis,Statistics,Business,Visualization",Data Analyst
S0166,91.69,90.48,83.88,"SQL,Excel,Power BI,Data Visualization","Analysis,Statistics,Business,Visualization",Data Analyst
S0167,85.45,85.72,77.69,"Python,SQL,Power BI,Statistics","Business Analysis,Data,Reporting,Insights",Data Analyst
S0168,89.3,77.9,75.84,"Python,SQL,Excel,Tableau,Power BI","Analysis,Business,Data,Decision Making",Data Analyst
S0169,93.78,86.64,77.73,"SQL,Excel,Tableau,Statistics,Business Intelligence","Business Analysis,Data,Reporting,Insights",Data Analyst
S0170,90.13,90.89,80.92,"Python,SQL,Looker,Statistics","Analysis,Statistics,Business,Visualization",Data Analyst
S0171,86.33,90.71,80.09,"Python,SQL,Power BI,Statistics","Analysis,Statistics,Business,Visualization",Data Analyst
S0172,85.08,80.03,81.16,"R,SQL,Statistics,Tableau,Excel","Statistics,Analysis,Business,Problem Solving",Data Analyst
S0173,90.62,86.41,84.98,"Python,SQL,Excel,Tableau,Power BI","Analysis,Business,Statistics,Reporting",Data Analyst
S0174,87.0,80.84,79.9,"SQL,Excel,Tableau,Statistics,Business Intelligence","Data Analysis,Business Intelligence,Reporting",Data Analyst
S0175,87.16,81.75,82.65,"SQL,Excel,Power BI,Data Visualization","Business Analysis,Data,Reporting,Insights",Data Analyst
S0176,86.17,92.49,79.57,"Python,SQL,Looker,Statistics","Analysis,Statistics,Business,Visualization",Data Analyst
S0177,90.1,86.37,80.8,"SQL,Excel,Power BI,Data Visualization","Business Analysis,Data,Reporting,Insights",Data Analyst
S0178,87.85,86.51,80.03,"Python,SQL,Excel,Tableau,Power BI","Analysis,Statistics,Business,Visualization",Data Analyst
S0179,88.09,76.78,75.85,"SQL,Excel,Power BI,Data Visualization","Statistics,Analysis,Business,Problem Solving",Data Analyst
S0180,79.74,89.18,73.25,"SQL,Excel,Power BI,Data Visualization","Analysis,Statistics,Business,Visualization",Data Analyst
S0181,85.33,85.43,80.92,"SQL,Excel,Power BI,Data Visualization","Analysis,Statistics,Business,Visualization",Data Analyst
S0182,94.34,82.84,85.77,"Python,SQL,Excel,Tableau,Power BI","Statistics,Analysis,Business,Problem Solving",Data Analyst
S0183,90.39,88.68,81.89,"SQL,Excel,Power BI,Data Visualization","Analysis,Statistics,Business,Visualization",Data Analyst
S0184,89.62,89.18,79.73,"SQL,Excel,Tableau,Statistics,Business Intelligence","Analysis,Statistics,Business,Visualization",Data Analyst
S0185,90.78,90.1,88.91,"R,SQL,Statistics,Tableau,Excel","Business Analysis,Data,Reporting,Insights",Data Analyst
S0186,91.4,78.58,78.68,"Python,Pandas,SQL,Tableau,Statistics","Analysis,Business,Data,Decision Making",Data Analyst
S0187,89.25,86.65,77.59,"Python,SQL,Excel,Tableau,Power BI","Analysis,Business,Statistics,Reporting",Data Analyst
S0188,86.17,80.6,84.53,"Python,SQL,Power BI,Statistics","Data Analysis,Business Intelligence,Reporting",Data Analyst
S0189,79.21,87.58,78.82,"Python,SQL,Excel,Tableau,Power BI","Data Analysis,Business Intelligence,Reporting",Data Analyst
S0190,85.31,86.29,84.99,"R,SQL,Statistics,Tableau,Excel","Analysis,Business,Statistics,Reporting",Data Analyst
S0191,93.03,82.13,82.27,"SQL,Excel,Power BI,Data Visualization","Analysis,Statistics,Business,Visualization",Data Analyst
S0192,88.52,85.73,90.3,"R,SQL,ggplot2,Statistics,Excel","Business Analysis,Data,Reporting,Insights",Data Analyst
S0193,84.81,86.59,77.14,"SQL,Excel,Power BI,Data Visualization","Business Analysis,Data,Reporting,Insights",Data Analyst
S0194,88.77,84.98,80.91,"SQL,Excel,Power BI,Data Visualization","Business Analysis,Data,Reporting,Insights",Data Analyst
S0195,89.75,80.63,85.06,"Python,SQL,Excel,Tableau,Power BI","Analysis,Business,Data,Decision Making",Data Analyst
S0196,95.0,88.09,84.33,"R,SQL,ggplot2,Statistics,Excel","Statistics,Analysis,Business,Problem Solving",Data Analyst
S0197,92.41,94.56,75.66,"Python,Pandas,SQL,Tableau,Statistics","Data Analysis,Business Intelligence,Reporting",Data Analyst
S0198,93.4,84.59,87.27,"SQL,Excel,Power BI,Data Visualization","Business Analysis,Data,Reporting,Insights",Data Analyst
S0199,83.51,76.4,86.7,"Python,SQL,Power BI,Statistics","Analysis,Statistics,Business,Visualization",Data Analyst
S0200,85.95,84.12,79.76,"Python,Pandas,SQL,Tableau,Statistics","Statistics,Analysis,Business,Problem Solving",Data Analyst
S0201,87.29,95.09,91.27,"Vue.js,Node.js,MongoDB,Express","Development,Full Stack,Problem Solving,Architecture",Full Stack Developer
S0202,95.9,89.81,89.3,"Angular,Java,Spring Boot,MySQL","Development,Full Stack,Problem Solving,Architecture",Full Stack Developer
S0203,76.63,76.9,70.23,"Vue.js,Python,Django,PostgreSQL,Docker","Full Stack,Development,Design,Problem Solving",Full Stack Developer
S0204,85.05,73.22,72.47,"React,Node.js,MongoDB,Express,JavaScript","Development,Full Stack,Problem Solving,Architecture",Full Stack Developer
S0205,86.62,80.42,85.77,"Vue.js,Node.js,MongoDB,Express","Development,Frontend,Backend,Database",Full Stack Developer
S0206,93.17,95.7,83.39,"Vue.js,Node.js,MongoDB,Express","Development,Full Stack,API,Database",Full Stack Developer
S0207,83.26,88.73,86.26,"React,Django,PostgreSQL,Redis,Docker","Development,Architecture,Full Stack,Innovation",Full Stack Developer
S0208,79.98,71.39,72.68,"Vue.js,Node.js,MongoDB,Express","Development,Frontend,Backend,Database",Full Stack Developer
S0209,94.03,88.6,85.3,"Vue.js,Python,Django,PostgreSQL,Docker","Development,Full Stack,Problem Solving,Architecture",Full Stack Developer
S0210,82.02,83.13,80.93,"React,Django,PostgreSQL,Redis,Docker","Frontend,Backend,Development,Problem Solving",Full Stack Developer
S0211,87.34,92.16,87.13,"Angular,Java,Spring Boot,MySQL","Development,Frontend,Backend,Database",Full Stack Developer
S0212,92.71,82.56,78.57,"Vue.js,Python,Django,PostgreSQL,Docker","Development,Architecture,Full Stack,Innovation",Full Stack Developer
S0213,85.47,74.79,83.26,"React,Node.js,MongoDB,Express,JavaScript","Development,Full Stack,API,Database",Full Stack Developer
S0214,88.79,84.41,84.61,"React,Python,Flask,MySQL,Redis","Development,Full Stack,Problem Solving,Architecture",Full Stack Developer
S0215,90.04,75.13,81.15,"Angular,Node.js,PostgreSQL,TypeScript","Development,Full Stack,Problem Solving,Architecture",Full Stack Developer
S0216,96.15,86.97,75.17,"Angular,Node.js,PostgreSQL,TypeScript","Development,Frontend,Backend,Database",Full Stack Developer
S0217,87.43,95.31,89.6,"React,Python,Flask,MySQL,Redis","Development,Full Stack,API,Database",Full Stack Developer
S0218,93.63,88.23,86.23,"React,Node.js,GraphQL,PostgreSQL,Docker","Full Stack,Development,Design,Problem Solving",Full Stack Developer
S0219,86.38,89.57,87.25,"React,Django,PostgreSQL,Redis,Docker","Frontend,Backend,Development,Problem Solving",Full Stack Developer
S0220,82.27,69.34,78.78,"React,Django,PostgreSQL,Redis,Docker","Frontend,Backend,Development,Problem Solving",Full Stack Developer
S0221,93.21,80.72,86.28,"Vue.js,Node.js,MongoDB,Express","Development,Architecture,Full Stack,Innovation",Full Stack Developer
